"gr.income" "height" "age" "duration" "married" "gender" "german" "abitur"
"1" 3408 176 42 1.8 0 0 1 1
"2" 4016 176 52 15.8 0 1 1 1
"3" 3400 188 30 0.8 0 0 0 1
"4" 1718 158 51 0.8 0 1 1 0
"5" 3195 174 54 13.5 1 0 1 1
"6" 1900 158 54 21 1 1 1 0
"7" 325 172 55 2.7 1 0 1 0
"8" 325 178 30 2.7 0 0 1 0
"9" 1400 175 46 0.5 1 1 1 0
"10" 2658 183 33 3.2 0 0 1 0
"11" 1270 168 28 2.3 0 0 1 0
"12" 1800 167 61 32.8 1 1 1 0
"13" 2779 178 60 32.8 0 0 1 0
"14" 3785 185 32 1.7 1 0 1 1
"15" 1950 170 44 14.7 0 1 1 0
"16" 1378 176 50 19.3 0 1 1 0
"17" 1300 164 22 1.8 0 1 1 0
"18" 1880 170 42 22.9 1 1 1 1
"19" 3900 185 39 16.2 1 0 1 1
"20" 3900 185 45 13 0 0 1 1
"21" 1800 180 60 16.1 0 0 1 1
"22" 3400 167 29 0.4 0 1 1 1
"23" 6339 177 63 17.1 0 0 1 1
"24" 1735 171 54 27 1 1 1 0
"25" 3500 188 61 26.3 0 0 1 0
"26" 2171 188 48 13.3 0 0 1 1
"27" 2987 169 49 13.3 0 1 1 1
"28" 1500 180 33 0.2 1 0 1 0
"29" 3323 180 44 3.8 1 0 1 0
"30" 2299 176 38 7.8 1 0 1 0
"31" 1391 160 42 11.3 1 1 1 0
"32" 7000 183 42 10.2 1 0 1 0
"33" 4000 180 36 16.3 1 0 1 1
"34" 3400 166 33 14 1 1 1 0
"35" 1900 166 32 9.5 0 1 1 0
"36" 2000 175 36 4.1 0 0 1 0
"37" 1789 197 42 4.5 0 0 1 0
"38" 2862 168 53 35.8 1 0 1 0
"39" 3800 152 52 33.5 1 1 1 0
"40" 1955 155 26 1.8 0 1 1 0
"41" 1883 165 38 2.6 0 1 1 0
"42" 3300 189 38 8 0 0 0 1
"43" 2200 182 27 5.8 0 0 1 1
"44" 1100 176 26 1 1 0 0 0
"45" 2911 170 54 16.8 1 0 1 0
"46" 2650 184 28 5.7 0 0 1 1
"47" 2350 169 27 6 0 1 1 1
"48" 2100 180 50 21.7 1 0 1 0
"49" 650 172 46 3.2 1 1 1 0
"50" 1700 164 55 32.4 1 1 1 0
"51" 900 153 38 3.8 1 1 1 1
"52" 2700 173 39 13.2 1 0 1 0
"53" 2815 166 51 22.1 1 1 1 0
"54" 1370 168 25 1.8 1 1 1 0
"55" 1482 176 26 0.8 1 0 1 0
"56" 1020 179 39 0.8 0 0 1 0
"57" 1500 171 47 20.6 1 1 1 0
"58" 3000 172 49 5.9 1 0 1 0
"59" 1400 153 58 13.8 1 1 1 0
"60" 2600 170 38 4.4 1 0 1 0
"61" 2100 171 32 3.2 0 0 1 0
"62" 325 168 72 2.8 1 0 1 0
"63" 2100 163 31 8 0 1 1 0
"64" 2300 165 34 8.1 0 1 1 0
"65" 1100 172 38 16 1 1 1 0
"66" 325 148 61 2.7 1 1 1 0
"67" 1400 155 34 15.3 0 1 1 0
"68" 2300 170 47 28.1 1 0 1 0
"69" 1200 164 44 2.2 1 1 1 0
"70" 325 172 61 7 1 0 1 1
"71" 1200 174 61 6.5 1 1 1 0
"72" 3400 168 41 21 1 1 1 0
"73" 2000 178 44 2.5 0 0 1 0
"74" 1650 168 42 6.4 1 1 1 0
"75" 2100 196 34 5.9 1 0 1 0
"76" 1632 175 25 0.8 0 0 1 0
"77" 4200 175 37 18 0 0 1 0
"78" 3850 178 43 14.3 1 0 1 0
"79" 317 163 39 3.2 1 1 1 0
"80" 403 168 40 0.5 1 1 1 0
"81" 2173 192 34 9.4 0 0 1 0
"82" 2800 183 33 8.3 1 0 1 0
"83" 2200 170 60 24.1 1 0 1 0
"84" 200 166 58 6 1 1 1 0
"85" 305 160 32 1.2 1 1 1 0
"86" 2062 183 33 5.5 1 0 1 0
"87" 1435 168 40 2.6 1 1 1 0
"88" 3579 183 38 1.3 1 0 1 1
"89" 1789 186 48 2.5 0 0 1 0
"90" 1329 169 29 1.8 0 1 1 0
"91" 2071 167 23 3.7 0 1 1 0
"92" 3067 171 34 3.5 0 0 1 0
"93" 1795 155 59 12 0 1 1 0
"94" 3221 180 35 7.3 1 0 1 1
"95" 2315 178 31 3.3 0 0 1 1
"96" 2850 182 40 10.9 1 0 1 0
"97" 2200 175 25 0.6 0 1 1 0
"98" 1050 173 38 9.3 1 1 1 0
"99" 2900 176 59 17 1 0 1 0
"100" 1800 164 25 4.4 0 1 1 1
"101" 2260 185 59 29.6 1 0 1 0
"102" 4700 184 55 31.5 1 0 1 0
"103" 4600 180 34 3.7 0 1 1 1
"104" 4200 177 33 5.1 0 1 1 1
"105" 980 170 39 0.8 1 1 1 0
"106" 210 160 52 5 0 1 1 0
"107" 325 168 39 1.1 1 1 1 0
"108" 2500 184 39 8.8 1 0 1 0
"109" 2700 180 29 6 1 1 1 1
"110" 1800 165 54 4.8 1 1 1 0
"111" 1200 173 44 0.2 1 1 1 1
"112" 150 168 65 19.8 1 0 1 0
"113" 2004 165 45 1.3 1 1 1 0
"114" 2200 166 62 23.3 1 0 1 0
"115" 1200 166 49 17.5 1 1 1 0
"116" 1700 172 58 9.9 1 0 1 0
"117" 2500 178 48 13.8 1 0 1 0
"118" 2200 163 47 5.2 1 1 1 0
"119" 2425 168 53 9.7 0 1 1 0
"120" 4167 182 53 9.9 1 0 1 1
"121" 3695 163 52 8.6 1 1 1 0
"122" 3192 189 30 3.8 1 0 1 1
"123" 3100 189 33 14 1 0 1 1
"124" 3300 172 54 14.9 1 0 1 0
"125" 315 168 50 2.3 1 1 1 0
"126" 4300 169 53 0.6 0 0 1 1
"127" 1100 170 52 4.3 1 1 1 0
"128" 2200 194 25 2 0 0 1 0
"129" 3400 182 33 5.7 0 0 1 0
"130" 3500 180 37 17 1 0 1 0
"131" 1792 190 25 1.9 0 0 1 0
"132" 2659 175 52 26.8 0 0 1 0
"133" 325 168 45 0.7 1 1 1 1
"134" 3600 181 34 16 0 1 1 0
"135" 2780 178 35 16 0 0 1 0
"136" 1860 170 33 10.3 1 0 1 0
"137" 5000 177 52 32.3 1 0 0 1
"138" 2300 176 46 3.3 0 1 1 0
"139" 3050 176 53 1.4 0 0 1 0
"140" 1610 176 46 1.3 0 1 1 0
"141" 2050 165 52 6.4 1 1 1 0
"142" 3390 168 62 21.1 0 1 1 0
"143" 700 162 33 0.6 1 1 1 1
"144" 4400 173 36 10.8 1 0 1 1
"145" 3587 174 57 32.3 1 0 1 0
"146" 2798 159 40 12.6 0 1 1 0
"147" 1871 160 39 18.8 1 1 1 0
"148" 3400 186 39 12 1 0 1 0
"149" 5000 189 45 20.5 0 0 1 1
"150" 2505 173 44 3.2 0 1 1 0
"151" 4100 190 63 28.6 1 0 1 0
"152" 3050 178 43 14.3 1 1 1 1
"153" 325 160 43 2.3 1 1 1 0
"154" 5300 185 45 10.3 1 0 1 1
"155" 4755 172 34 6.1 0 0 1 1
"156" 2400 172 61 22.2 1 1 1 0
"157" 2985 185 56 10.4 1 0 1 0
"158" 2290 163 52 1.2 0 1 1 1
"159" 4254 176 40 18.3 1 1 1 1
"160" 3600 174 45 6.5 1 0 1 1
"161" 1636 169 39 1 0 1 1 1
"162" 1789 175 45 27.8 1 0 1 0
"163" 2045 165 40 2.3 1 1 1 0
"164" 700 161 44 2.7 1 1 1 0
"165" 2850 172 52 23.3 1 0 1 0
"166" 934 167 35 0.4 1 1 1 0
"167" 2324 172 38 14.8 1 0 1 0
"168" 2556 166 36 2.1 1 1 1 1
"169" 2396 169 41 3.3 1 0 1 1
"170" 2952 167 48 30 1 1 1 0
"171" 2187 150 59 25 0 1 1 0
"172" 1044 170 38 11.8 1 1 1 0
"173" 1557 169 31 13.5 1 1 1 0
"174" 1227 170 36 2.3 0 1 1 0
"175" 2990 168 55 24.1 1 1 1 1
"176" 4100 186 34 2.5 1 0 1 1
"177" 1215 190 30 0.9 1 0 1 1
"178" 2200 197 41 8.8 1 0 1 0
"179" 1900 180 31 4 1 0 0 0
"180" 640 171 42 0.3 1 1 1 0
"181" 325 173 29 0.9 1 1 1 1
"182" 2610 180 30 5.8 1 0 1 0
"183" 2046 169 30 3.8 1 1 1 0
"184" 2100 178 39 12.8 0 0 1 0
"185" 1172 170 35 17.3 1 1 1 0
"186" 3340 181 33 12.9 1 0 1 0
"187" 2000 176 30 4.6 1 0 1 0
"188" 3150 178 36 13.6 1 0 1 0
"189" 4000 180 55 32 1 0 1 0
"190" 1100 154 57 21.6 1 1 1 0
"191" 2300 194 33 2 0 0 1 0
"192" 1150 174 34 0.8 1 1 1 1
"193" 1935 155 26 1.2 0 1 1 0
"194" 1200 160 53 0.5 0 1 1 0
"195" 1750 180 29 1.1 0 0 1 0
"196" 2600 175 33 9.2 1 0 1 0
"197" 750 158 54 13.2 0 1 1 0
"198" 1800 175 31 11 0 0 1 0
"199" 325 168 24 0.1 0 1 1 0
"200" 2400 166 57 20.9 1 1 1 0
